Name	Type of Trainee	Area of study	Advisor	Year Graduated	Current Position	Latitude	Longitude	URL
Ahn, David	PhD	CS	Schubert	2003	Software Engineer, Google	37.427052	-122.071033	
Allopenna, Paul	Postdoc	BCS	Tanenhaus	1995 - 1999	Assistant Research Professor, Cognitive Linguistics & Psychological Sciences, Brown University	41.82689	-71.40112	http://www.brown.edu/Departments/CLPS/people/paul-allopenna
Arnold, Jennifer	Postdoc	BCS	Tanenhaus	2000 - 2004	Associate Professor, Department of Psychology, UNC Chapel Hill	35.913	-79.049406	http://jenniferarnold.web.unc.edu/
Austin, Alison	PhD	BCS	Newport	2010				
Bardhan, Neil	PhD	BCS	Aslin, Tanenhaus	2010	Social Media Chair, Human Rights Campaign, Philadelphia	39.958396	-75.195541	
Barker, Chris	Postdoc		Tanenhaus		Professor, Department of Linguistics, New York University	40.729279	-73.994196	http://linguistics.as.nyu.edu/object/chrisbarker.html
Bazrafshan, Marzieh	PhD	CS	Gildea	2014				
Bicknell, Klinton	Postdoc	BCS	Jaeger	2013 - 2014	Assistant Professor, Department of Linguistics, Northwestern	42.054468	-87.677652	http://faculty.wcas.northwestern.edu/kbicknell/
Boland, Julie	PhD	Psychology	Tanenhaus	1991	Professor of Psychology and Linguistics, University of Michigan	42.2757302	-83.7351764	http://www-personal.umich.edu/~jeboland/people.html
Brown-Schmidt, Sarah	PhD	BCS	Tanenhaus	2005	Assistant Professor, Psychology University of Illinois at Urbana-Champaign	40.102186	-88.227141	http://www.psychology.illinois.edu/people/brownsch
Brown, Meredith	PhD	BCS	Tanenhaus	2014	Postdoctoral Fellow, Tufts University and Massachusetts General Hospital	42.363176	-71.068851	http://www.nmr.mgh.harvard.edu/kuperberglab/people.htm
Byron, Donna	PhD	CS	Allen	2002	Senior Research Scientist, Relational Agents Group, Northeastern University	42.338896	-71.092199	http://donnakbyron.com/
Campana, Ellen	PhD	BCS 	Tanenhaus	2006	Software Architect, Intel Corporation	37.387823	-121.963448	
Carbary, Katie	PhD	BCS	Tanenhaus	2011	Associate Professor, Department of Psychology, Columbia Basin College	46.25182	-119.120906	http://www.columbiabasin.edu/index.aspx?recordid=1476&page=1039
Chambers, Craig	PhD	BCS	Tanenhaus	2001	Associate Professor, Department of Psychology, University of Toronto Mississauga	43.548074	-79.660958	http://www.utm.utoronto.ca/psychology/people/faculty/craig-chambers
Chambers, Kyle	Postdoc	BCS	Aslin	2004 - 2007	Associate Professor, Psychological Science, Gustavus Adolphus College	44.323977	-93.973069	https://gustavus.edu/profiles/kchamber
Chung, Tagyoung	PhD	CS	Gildea	2013	Research Engineer, Nuance Communications	42.484138	-71.193458	
Clayards, Meghan	PhD	BCS	Aslin, Tanenhaus	2008	Assistant Professor, Department of Linguistics & School of Communication Sciences Disorders, McGill University	45.503663	-73.574024	http://people.linguistics.mcgill.ca/~meghan.clayards/Research.html
Coppola, Marie	PhD	BCS	Newport	2003	Assistant Professor, Department of Psychology, University of Connecticut	41.807929	-72.254015	
Creel, Sarah	PhD	BCS	Aslin	2005	Associate Professor, Cognitive Science, University of California San Diego	32.880317	-117.234045	http://www.cogsci.ucsd.edu/research/profile/226/
Crosswhite, Katherine	Postdoc	BCS	Tanenhaus	1999 - 2002				
Daphan, Delphine	Postdoc	BCS	Tanenhaus	1997 - 1999	Assistant Professor, Department of Psychology, University of Pennsylvania	39.95344	-75.19767	http://www.psych.upenn.edu/~dahan/
Degen, Judith	PhD	BCS & LING	Tanenhaus, Gunlogson	2013	Postdoctoral Fellow, Department of Psychology, Stanford University	37.4286	-122.170823	https://sites.google.com/site/judithdegen/home
Dzikovska, Myroslava	Phd	CS	Allen	2004	Research Fellow, Human Communication Research Centre Informatics, University of Edinburgh	55.944795	-3.187117	http://homepages.inf.ed.ac.uk/mdzikovs/
Eberhard, Kathleen	Postdoc	BCS	Tanenhaus	1993 - 1996	Associate Professor, Department of Psychology, Notre Dame	41.704853	-86.236785	http://psychology.nd.edu/faculty/faculty-by-alpha/kathleen-m-eberhard/
Eigsti, Inge-Marie	PhD 	BCS & CSP	Newport, Bennetto	2002	Associate Professor, Department of Psychology, University of Connecticut	41.807929	-72.254015	http://eigsti.psy.uconn.edu/
Eyigoz, Elif	PhD	CS	Gildea	2014				
Faber, Ben	PhD	BCS & LING	Newport	2008	Associate Professor, Department of Psychology, College of Saint Benedict, Saint John’s University	45.560719	-94.322218	http://www.csbsju.edu/psychology/faculty/ben-faber-phd
Farmer, Thomas	Postdoc	BCS	Jaeger	2010 - 2012	Assistant Professor, Department of Psychology, University of Iowa	41.661949	-91.531367	http://psychology.uiowa.edu/people/thomas-farmer
Fedzechkina, Masha	PhD	BCS	Jaeger, Newport	2014	Postdoctoral Fellow, Department of Psychology, University of Pennsylvania	39.952203	-75.193219	https://psychology.sas.upenn.edu/people/Fedzechkina
Filip, Hanna	Postdoc	LING	Allen, Carlson	1996 - 1999	Assistant Professor, Department of Germanic & Slavic Studies, University of Florida	29.649428	-82.345564	http://plaza.ufl.edu/hfilip/
Fine, Alex	PhD	BCS & LING	Jaeger, Runner	2013	Lady Davis Post-doctoral Fellow, The Hebrew University of Jerusalem	31.794558	35.241401	http://internal.psychology.illinois.edu/~abfine/AlexFineHome.html
Frank, Austin	PhD	BCS	Aslin, Tanenhaus	2010	Riot Games	34.030437	-118.474416	
Fraundorf, Scott	Postdoc	BCS	Jaeger	2013 - 2014	Assistant Professor, Department of Psychology, University of Pittsburgh 	40.441454	-79.956375	http://www.scottfraundorf.com/
Galescu, Lucian	PhD	CS	Allen	2003	Research Scientist, Florida Institute for Human & Machine Cognition	30.413164	-87.209871	http://www.ihmc.us/groups/lgalescu/
Garnsey, Susan	PhD	Psychology		1985	Associate Professor, Department of Linguistics and Department of Psychology, University of Illinois at Urbana-Champaign	40.107022	-88.230856	http://www.psychology.illinois.edu/people/garnsey
Gebhart, Andrea	Postdoc	BCS	Aslin, Newport	2002 - 2005	Scientific Writing, Editing and Consulting Services, Rochester NY			http://www.andreagebhartrommel.com/
Gegg-Harrison, Whitney	PhD	BCS	Tanenhaus	2014	Lecturer, College Writing Program, University of Rochester	43.128466	-77.627792	http://writing.rochester.edu/
Gomez-Gallo, Carlos	PhD	CS & LING	Jaeger, Allen	2011	Postdoctoral Fellow, Institute for Quantitative Social Science, Harvard University	42.375862	-71.113197	http://www.iq.harvard.edu/people/carlos-gallo
Gordon, Jonathan	PhD	CS	Schubert	2014	Postdoctoral Researcher, Information Sciences Institute, University of Southern California	33.980184	-118.440028	http://isi.edu/~jgordon/
Gorman, Kris	PhD	BCS	Tanenhaus	2012	Assistant Education Specialist, University of Minnesota	44.974013	-93.22769	http://www1.umn.edu/ohr/teachlearn/about/staff/gorman/index.html
Hafezi, Mahdi	PhD	CS	Allen	2014	Software Engineer, Google	37.427052	-122.071033	
Hanna, Joy	PhD	BCS	Tanenhaus	2001	Assistant Professor, Department of Psychology, Daemen College,	42.965193	-78.789653	http://www.daemen.edu/academics/divisionofartssciences/psychology/faculty/Pages/JoyHanna.aspx
Heller, Daphna	Postdoc	BCS	Tanenhaus	2004 - 2008	Assistant Professor, Department of Linguistics, University of Toronto	43.66238	-79.398708	http://individual.utoronto.ca/daphna_heller/
Hirshorn, Elizabeth	PhD	BCS	Bavelier	2011	Postdoctoral Fellow, Department of Psychology, University of Pittsburgh	40.441522	-79.956338	http://www.elizabethhirshorn.com/
Hudson-Kam, Carla	PhD	BCS	Newport	2003	Associate Professor, Department of Linguistics, University of British Columbia	49.256126	-123.249006	http://blogs.ubc.ca/languageandlearninglab/
Kaiser, Elsi	Postdoc	BCS	Tanenhaus	2003 - 2005	Associate Professor, Department of Linguistics, University of Southern California	34.022401	-118.285117	http://www-bcf.usc.edu/~emkaiser/research.html
Karuza, Elisabeth	PhD	BCS	Aslin, Newport	2014	Postdoctoral Fellow, Department of Psychology, University of Pennsylvania	39.952203	-75.193219	https://psychology.sas.upenn.edu/people/Karuza
Kidd, Celeste	PhD	BCS	Aslin	2013	Assistant Professor, Department of Brain and Cognitive Sciences, University of Rochester	43.127754	-77.628102	http://www.bcs.rochester.edu/people/ckidd/CelesteKidd/Kidd.html
